ticket_id,subject,body,priority,department
TKT-10357,Data export failing,"When I try to export reports as CSV, the download starts but fails at about 60%. File size should be around 250MB. Using Chrome on Ubuntu 22.04.",Medium,Technical
TKT-10201,Payment not reflected,I made a payment of $99.95 on February 28 via credit card but it still shows as outstanding on my account AC-100039. Can you confirm receipt?,Urgent,Billing
TKT-10689,Order not received,My order #700144 was supposed to arrive by March 1 but I still haven't received it. Tracking number 1Z9999949 shows it's been in transit for 5 days.,Low,Shipping
TKT-11932,Unhappy customer,"I've been having nothing but problems. The advanced analytics doesn't work, I was overcharged $349.00, and my last order #700123 never arrived. Please fix all of this.",Low,Product
TKT-11545,Suggestion for UI improvement,The current layout of the custom dashboards page requires too many clicks to accomplish basic tasks. Suggest adding a quick-action toolbar or keyboard shortcuts for power users.,Medium,Product
TKT-11598,Cancel my subscription,I need to cancel my Enterprise subscription effective last Friday. Please confirm the cancellation and any remaining balance. Account holder: Alex Kim.,Medium,Account
TKT-11622,Slow dashboard loading,"The analytics dashboard takes over 90 seconds to load. This happens in both Edge and Edge. Other pages load normally. Our dataset has about 50,000 rows.",Urgent,Technical
TKT-11339,Wrong item shipped,I ordered monitor stand but received phone charger instead. Order #700126. I need the correct item sent and a return label for the wrong one.,Low,Shipping
TKT-11795,Wrong amount on subscription renewal,My Business plan renewed at $59.99 instead of $349.00. I didn't authorize any changes. Account AC-100042. Also the dashboard shows the old plan features.,High,Billing
TKT-10874,Change shipping address,"I need to update the shipping address for order #700102 from Chicago to Portland. The order hasn't shipped yet. New address: 123 Main St, Suite 400.",Medium,Shipping
TKT-10543,Upgrade plan request,I'd like to upgrade from the Starter to the Business plan. We currently have 15 users and need the additional features. What's the process?,Medium,Account
TKT-10378,Permission issue for team member,User ops@startup.dev should have admin-level access but can only view dashboards. I've checked the role settings and they show 'Admin'. Please investigate.,Urgent,Account
TKT-10236,Incorrect charge on my account,I noticed a charge of $99.95 on my last statement that I don't recognize. My account number is AC-100000. Please investigate and issue a refund if this is an error.,Medium,Billing
TKT-10352,Report generation timeout,"Generating the monthly summary report times out after 45 seconds. The report covers 50,000 records. This worked fine last month with similar data volume.",Low,Technical
TKT-10918,Reset my password,I've been locked out of my account (jdoe@acmecorp.com) after too many failed login attempts. The password reset email isn't arriving. Can you manually reset it?,Urgent,Account
TKT-11754,Need to cancel and get refund,I want to cancel my Business subscription and get a prorated refund for the remaining 7 days. Account admin@techfirm.io. Please process ASAP.,Medium,Account
TKT-11354,Damaged package,My order #700129 arrived with significant damage to the packaging and the USB-C hub inside is broken. I've attached photos. Please send a replacement.,High,Shipping
TKT-11088,Add team members,I need to add 50 new users to our Growth plan. Their email addresses are attached. Please confirm if this affects our pricing.,Medium,Account
TKT-10755,Beta feature feedback,"I've been testing the new advanced analytics beta. Overall it's great, but I found 3 issues: the filter doesn't apply to grouped views, and export drops the last column.",Medium,Product
TKT-11330,Comparison with competitor,"I'm evaluating your product against Salesforce. Can you provide a comparison of features, especially around custom dashboards and role-based access? We're a 150-person company.",Low,Product
TKT-10129,Order not received,My order #700122 was supposed to arrive by March 1 but I still haven't received it. Tracking number 1Z9999942 shows it's been in transit for 10 days.,Low,Shipping
TKT-10557,Slow dashboard loading,"The analytics dashboard takes over 60 seconds to load. This happens in both Firefox and Edge. Other pages load normally. Our dataset has about 500,000 rows.",Medium,Technical
TKT-11135,Beta feature feedback,"I've been testing the new team collaboration beta. Overall it's great, but I found 3 issues: the filter doesn't apply to grouped views, and export drops the last column.",Medium,Product
TKT-10183,Account merger request,We have two separate accounts (ops@startup.dev and team@retailco.com) that need to be merged. The team@retailco.com account was created by mistake. Please consolidate under ops@startup.dev.,High,Account
TKT-11175,Suggestion for UI improvement,The current layout of the advanced analytics page requires too many clicks to accomplish basic tasks. Suggest adding a quick-action toolbar or keyboard shortcuts for power users.,Medium,Product
TKT-10198,Upgrade plan request,I'd like to upgrade from the Starter to the Growth plan. We currently have 10 users and need the additional features. What's the process?,High,Account
TKT-11653,Cancel my subscription,I need to cancel my Professional subscription effective March 1. Please confirm the cancellation and any remaining balance. Account holder: Sarah Chen.,Low,Account
TKT-10325,Integration with third-party tool,Do you support integration with Jira? We use it heavily for compliance reporting and having a native connector would save us hours of manual data transfer each weekly.,High,Product
TKT-10586,Promo code not applied,I entered promo code SPRING25 during checkout but the discount wasn't applied. I was charged the full $75.00. Please adjust my bill.,High,Billing
TKT-11753,Charged for item I returned,I returned order #700103 on February 28 but I was charged $199.50 again. The docking station was sent back via ACH. Need a refund.,Medium,Billing
TKT-10716,Request for invoice copy,Could you please send me a copy of my invoice for February? I need it for my expense report. Account AC-100042.,Medium,Billing
TKT-10617,Cannot connect to API,Our integration is returning AUTH_401 errors when calling the /v2/data endpoint. This started around 4:45 PM GMT today. API key is still valid. Please check server-side logs.,High,Technical
TKT-10243,Permission issue for team member,User jdoe@acmecorp.com should have admin-level access but can only view dashboards. I've checked the role settings and they show 'Admin'. Please investigate.,Urgent,Account
TKT-10781,Billing cycle change request,Can I switch my billing cycle from monthly to annual? I'd like to take advantage of the yearly discount for the Enterprise plan.,Medium,Billing
TKT-10127,Mobile app sync issues,Changes made in the mobile app on Android 13 aren't syncing to the web version. I've checked my internet connection and it's stable. App version 4.0.0.,Low,Technical
TKT-10695,Feature request: bulk import,"We'd love the ability to bulk import records via CSV upload. Currently we have to add entries one by one, which is impractical for our 50,000-record dataset.",Medium,Product
TKT-10541,Unexpected price increase,My monthly bill went from $349.00 to $129.95 without any prior notice. I'm on the Enterprise plan. Please explain this increase or revert it.,Medium,Billing
TKT-11505,Integration with third-party tool,Do you support integration with Zapier? We use it heavily for customer onboarding and having a native connector would save us hours of manual data transfer each weekly.,High,Product
TKT-11885,Need to cancel and get refund,I want to cancel my Enterprise subscription and get a prorated refund for the remaining 14 days. Account jdoe@acmecorp.com. Please process ASAP.,Urgent,Account
TKT-10526,Need to update payment method,I'd like to update the credit card on file for account AC-100018. My current card ending in 9012 has expired.,Urgent,Billing
TKT-10555,Onboarding guidance needed,We just signed up for the Growth plan with 10 users. Could you recommend the best way to onboard our team? We primarily need advanced analytics and role-based access.,High,Product
TKT-10643,Account merger request,We have two separate accounts (maria.g@retailco.com and backup@acmecorp.com) that need to be merged. The backup@acmecorp.com account was created by mistake. Please consolidate under admin@techfirm.io.,Urgent,Account
TKT-10930,Beta feature feedback,"I've been testing the new custom dashboards beta. Overall it's great, but I found 2 issues: the filter doesn't apply to grouped views, and export drops the last column.",Low,Product
TKT-10800,Beta feature feedback,"I've been testing the new advanced analytics beta. Overall it's great, but I found 2 issues: the filter doesn't apply to grouped views, and export drops the last column.",Low,Product
TKT-11901,Question about my account,"Hi, I have some questions about my Professional plan. Can you explain the features and also why my bill is $49.00? Account maria.g@retailco.com.",Low,Account
TKT-10959,International shipping inquiry,I'm trying to place an order for delivery to Brazil. Your website says shipping is unavailable for my region. Do you have plans to expand international shipping?,High,Shipping
TKT-10933,Add team members,I need to add 5 new users to our Professional plan. Their email addresses are attached. Please confirm if this affects our pricing.,Medium,Account
TKT-10534,Wrong item shipped,I ordered laptop sleeve but received headset instead. Order #700130. I need the correct item sent and a return label for the wrong one.,Medium,Shipping
TKT-11535,Documentation unclear,The docs for the advanced analytics API endpoint are missing examples for project management. I've spent 5 hours trying to figure out the correct request format. Can you provide a working example?,Medium,Product
TKT-11578,Permission issue for team member,User jdoe@acmecorp.com should have admin-level access but can only view dashboards. I've checked the role settings and they show 'Admin'. Please investigate.,Low,Account
TKT-10954,International shipping inquiry,I'm trying to place an order for delivery to Australia. Your website says shipping is unavailable for my region. Do you have plans to expand international shipping?,High,Shipping
TKT-11174,International shipping inquiry,I'm trying to place an order for delivery to Brazil. Your website says shipping is unavailable for my region. Do you have plans to expand international shipping?,Low,Shipping
TKT-11588,Permission issue for team member,User ops@startup.dev should have admin-level access but can only view dashboards. I've checked the role settings and they show 'Admin'. Please investigate.,Medium,Account
TKT-10910,Onboarding guidance needed,We just signed up for the Professional plan with 15 users. Could you recommend the best way to onboard our team? We primarily need team collaboration and API rate limits.,Urgent,Product
TKT-11825,Charged for item I returned,I returned order #700143 on last Monday but I was charged $349.00 again. The wireless keyboard was sent back via wire transfer. Need a refund.,High,Technical
TKT-10992,Webhook delivery failures,We're not receiving webhooks at our endpoint since yesterday. The webhook URL is correctly configured. Our server returns 200 OK but your dashboard shows delivery failures.,Low,Technical
TKT-10246,Billing cycle change request,Can I switch my billing cycle from monthly to annual? I'd like to take advantage of the yearly discount for the Starter plan.,High,Billing
TKT-11076,Request for invoice copy,Could you please send me a copy of my invoice for February? I need it for my expense report. Account AC-100046.,Medium,Billing
TKT-11872,Can't access account after plan change,I upgraded to Professional yesterday and now I get RATE_LIMIT_429 when I try to log in. My email is maria.g@retailco.com. Was the upgrade processed correctly?,High,Account
TKT-11527,Cannot connect to API,Our integration is returning NULL_REF_500 errors when calling the /v2/data endpoint. This started around 2:15 PM UTC today. API key is still valid. Please check server-side logs.,Medium,Technical
TKT-11802,Wrong amount on subscription renewal,My Starter plan renewed at $249.50 instead of $349.00. I didn't authorize any changes. Account AC-100001. Also the dashboard shows the old plan features.,Low,Billing
TKT-11405,Suggestion for UI improvement,The current layout of the workflow automation page requires too many clicks to accomplish basic tasks. Suggest adding a quick-action toolbar or keyboard shortcuts for power users.,High,Product
TKT-11632,Data export failing,"When I try to export reports as CSV, the download starts but fails at about 60%. File size should be around 120MB. Using Edge on macOS Sonoma.",Urgent,Technical
TKT-10391,Need to update payment method,I'd like to update the credit card on file for account AC-100010. My current card ending in 9012 has expired.,Urgent,Billing
TKT-11062,Webhook delivery failures,We're not receiving webhooks at our endpoint since last Friday. The webhook URL is correctly configured. Our server returns 200 OK but your dashboard shows delivery failures.,Low,Technical
TKT-10442,Data export failing,"When I try to export reports as CSV, the download starts but fails at about 60%. File size should be around 15MB. Using Chrome on Windows 10.",Medium,Technical
TKT-11367,SSO login not working,Our team cannot log in via SSO since last Monday. We use Okta as our identity provider. Regular email/password login still works. Error message: 'Identity provider returned invalid response'.,Medium,Technical
TKT-11376,Need to update payment method,I'd like to update the credit card on file for account AC-100003. My current card ending in 4242 has expired.,Medium,Billing
TKT-11021,Promo code not applied,I entered promo code ANNUAL30 during checkout but the discount wasn't applied. I was charged the full $199.50. Please adjust my bill.,Medium,Billing
TKT-11561,Billing cycle change request,Can I switch my billing cycle from monthly to annual? I'd like to take advantage of the yearly discount for the Professional plan.,Low,Billing
TKT-11988,Unhappy customer,"I've been having nothing but problems. The team collaboration doesn't work, I was overcharged $12.99, and my last order #700110 never arrived. Please fix all of this.",Medium,Product
TKT-10912,Mobile app sync issues,Changes made in the mobile app on iOS 16 aren't syncing to the web version. I've checked my internet connection and it's stable. App version 4.1.2.,Low,Technical
TKT-10919,International shipping inquiry,I'm trying to place an order for delivery to Brazil. Your website says shipping is unavailable for my region. Do you have plans to expand international shipping?,High,Shipping
TKT-11331,Billing cycle change request,Can I switch my billing cycle from monthly to annual? I'd like to take advantage of the yearly discount for the Professional plan.,High,Billing
TKT-10280,Integration with third-party tool,Do you support integration with Jira? We use it heavily for lead tracking and having a native connector would save us hours of manual data transfer each daily.,High,Product
TKT-11318,Add team members,I need to add 25 new users to our Growth plan. Their email addresses are attached. Please confirm if this affects our pricing.,Urgent,Account
TKT-10413,Account merger request,We have two separate accounts (ops@startup.dev and cto@startup.dev) that need to be merged. The cto@startup.dev account was created by mistake. Please consolidate under admin@techfirm.io.,High,Account
TKT-10546,Request for invoice copy,Could you please send me a copy of my invoice for January? I need it for my expense report. Account AC-100021.,High,Billing
TKT-11338,Reset my password,I've been locked out of my account (admin@techfirm.io) after too many failed login attempts. The password reset email isn't arriving. Can you manually reset it?,High,Account
TKT-10507,Mobile app sync issues,Changes made in the mobile app on Android 13 aren't syncing to the web version. I've checked my internet connection and it's stable. App version 4.0.0.,High,Technical
TKT-10430,Suggestion for UI improvement,The current layout of the advanced analytics page requires too many clicks to accomplish basic tasks. Suggest adding a quick-action toolbar or keyboard shortcuts for power users.,High,Product
TKT-11784,Need to cancel and get refund,I want to cancel my Enterprise subscription and get a prorated refund for the remaining 10 days. Account maria.g@retailco.com. Please process ASAP.,Medium,Account
TKT-11621,Billing cycle change request,Can I switch my billing cycle from monthly to annual? I'd like to take advantage of the yearly discount for the Starter plan.,Low,Billing
TKT-10836,Incorrect charge on my account,I noticed a charge of $99.95 on my last statement that I don't recognize. My account number is AC-100031. Please investigate and issue a refund if this is an error.,Low,Billing
TKT-11593,Data deletion request,"Per our company policy, I'm requesting complete deletion of all data associated with account jdoe@acmecorp.com. Please confirm when this is done and provide a confirmation reference.",Medium,Account
TKT-10257,SSO login not working,Our team cannot log in via SSO since last Monday. We use OneLogin as our identity provider. Regular email/password login still works. Error message: 'Identity provider returned invalid response'.,High,Technical
TKT-11476,Billing cycle change request,Can I switch my billing cycle from monthly to annual? I'd like to take advantage of the yearly discount for the Enterprise plan.,Medium,Billing
TKT-10143,Change account owner,We need to transfer account ownership from ops@startup.dev to team@retailco.com. Maria Garcia has left the company and Miguel Torres will be the new admin.,Medium,Account
TKT-10554,Return shipping label needed,I'd like to return order #700137 (wireless keyboard). It doesn't fit our requirements. Could you please email a prepaid return label to maria.g@retailco.com?,Medium,Billing
TKT-11739,Charged for item I returned,I returned order #700147 on last Monday but I was charged $12.99 again. The wireless keyboard was sent back via bank transfer. Need a refund.,Low,Billing
