client_id,client_name,service,amount_usd,date,region,payment_status,notes
C-1003,Coastal Realty Group,Implementation,42369.94,2025-10-08,South,overdue,
C-1001,Greenfield Organic Foods,Training,19472.32,2025-05-03,South,overdue,
C-1001,Greenfield Organic Foods,Analytics,23676.53,2025-11-20,East,paid,Renewal
C-1010,Evergreen Consulting Group,Advisory,9241.81,2025-08-02,West,overdue,  
C-1009,Bridgeport Logistics,Advisory,35602.14,2025-09-17,West,overdue,New engagement
C-1006,Riverside Manufacturing Co,Advisory,33881.93,2025-05-10,West,pending,Renewal
C-1006,Riverside Manufacturing Co,Training,2950.77,2025-03-10,Midwest,overdue,N/A
C-1008,Crestview Hospitality,Training,9020.23,2025-11-20,West,paid,N/A
C-1008,Crestview Hospitality,Training,9020.23,2025-11-20,West,paid,N/A
C-1004,Pinnacle Software Solutions,Analytics,35808.81,2025-01-23,Midwest,paid,Renewal
C-1001,Greenfield Organic Foods,Advisory,9408.55,2025-11-28,West,pending,N/A
C-1007,Beacon Financial Advisors,Training,33705.54,2025-07-24,Midwest,pending,Quarterly review
C-1009,Bridgeport Logistics,Implementation,36250.52,2025-05-17,South,overdue,
C-1006,Riverside Manufacturing Co,Training,4523.03,2025-02-22,Midwest,overdue,Renewal
C-1008,Crestview Hospitality,Support,20673.71,2025-06-29,Midwest,overdue,  
C-1001,Greenfield Organic Foods,Implementation,30532.09,2025-02-08,Midwest,pending,  
C-1003,  Coastal Realty Group  ,Support,30835.91,2025-11-08,West,pending,Quarterly review
C-1010,Evergreen Consulting Group,Advisory,27624.17,2025-01-17,South,overdue,Renewal
C-1009,Bridgeport Logistics,Advisory,18513.5,2025-07-07,Midwest,overdue,Quarterly review
C-1008,Crestview Hospitality,Training,18027.44,2025-09-23,West,overdue,Renewal
C-1010,Evergreen Consulting Group,Advisory,31535.15,2025-05-27,East,pending,
C-1008,  Crestview Hospitality  ,Analytics,36662.58,2025-02-14,Midwest,pending,N/A
C-1005,Metro Health Partners,Advisory,32319.6,2025-03-22,East,overdue,Renewal
C-1003,Coastal Realty Group,Training,35776.41,2025-05-02,Midwest,paid,  
C-1009,Bridgeport Logistics,Training,27925.73,2025-03-08,West,paid,Renewal
C-1007,Beacon Financial Advisors,Analytics,4245.03,2025-10-22,West,pending,New engagement
C-1009,Bridgeport Logistics,Advisory,26862.58,2025-11-24,South,paid,  
C-1009,Bridgeport Logistics,Analytics,14381.48,2025-03-20,Midwest,paid,N/A
C-1002,Summit Peak Athletics,Analytics,9637.28,2025-05-09,Midwest,overdue,Quarterly review
C-1009,Bridgeport Logistics,Analytics,8419.98,2025-11-25,East,overdue,Quarterly review
C-1010,Evergreen Consulting Group,Analytics,37310.4,2025-01-22,West,paid,
C-1004,Pinnacle Software Solutions,Analytics,19329.82,2025-10-20,West,overdue,New engagement
