campaign_id,channel,region,segment,quarter,spend_usd,impressions,clicks,leads_generated,conversions,revenue_usd,duration_days
CMP-0001,LinkedIn Ads,International,Enterprise,2025-Q2,2720.3,268546,5319,312,25,826182.54,30
CMP-0002,Google Ads,Southeast,SMB,2024-Q4,3338.24,340529,9308,890,16,77397.7,14
CMP-0003,Email,Southeast,Enterprise,2025-Q2,518.66,90361,2140,171,30,584300.7,7
CMP-0004,Email,International,Mid-Market,2024-Q4,559.9,51354,3070,468,29,280768.32,21
CMP-0005,Google Ads,Northeast,Mid-Market,2025-Q2,3606.52,378514,19134,2586,67,435003.85,60
CMP-0006,Content/SEO,West,Enterprise,2025-Q2,2473.19,358027,10907,1505,64,1127451.15,14
CMP-0007,LinkedIn Ads,International,Enterprise,2025-Q1,810.81,93420,1115,58,5,112610.01,30
CMP-0008,Email,Southeast,Mid-Market,2024-Q3,441.47,54961,2391,359,36,508470.56,14
CMP-0009,Email,Midwest,Enterprise,2024-Q4,987.12,106922,6000,530,48,712272.98,14
CMP-0010,Webinars,Northeast,Mid-Market,2025-Q2,2326.93,354926,24183,3167,427,6041679.28,45
CMP-0011,Email,Northeast,Enterprise,2025-Q2,588.1,110036,5775,755,60,1011494.17,14
CMP-0012,LinkedIn Ads,West,Mid-Market,2025-Q1,5512.78,717154,12031,1002,59,753803.85,60
CMP-0013,LinkedIn Ads,Northeast,Mid-Market,2024-Q4,5453.62,633195,6898,639,42,577782.77,21
CMP-0014,Google Ads,International,Mid-Market,2024-Q3,3350.58,464840,13108,2593,141,896271.08,30
CMP-0015,Google Ads,International,Mid-Market,2024-Q4,6936.1,1219376,34717,2520,183,1487901.26,45
CMP-0016,LinkedIn Ads,West,Enterprise,2025-Q1,4159.6,380774,9523,1819,156,2570236.25,45
CMP-0017,Content/SEO,Northeast,Enterprise,2025-Q1,3872.32,415987,11712,892,37,646441.74,14
CMP-0018,Trade Shows,West,Mid-Market,2025-Q2,7799.79,950834,13590,2159,302,9630755.95,7
CMP-0019,Google Ads,West,Mid-Market,2025-Q2,5086.14,409980,10588,784,56,492532.19,30
CMP-0020,Google Ads,Northeast,Enterprise,2024-Q4,6817.19,1076815,26938,4778,314,6607626.49,7
CMP-0021,LinkedIn Ads,International,Mid-Market,2025-Q2,8523.45,1195980,25298,3454,157,2338792.56,30
CMP-0022,LinkedIn Ads,Midwest,SMB,2025-Q2,5189.67,1017167,22862,4447,209,1831054.36,21
CMP-0023,Webinars,Midwest,Enterprise,2024-Q3,5144.49,985695,53480,3238,407,7083095.62,21
CMP-0024,LinkedIn Ads,Southeast,SMB,2024-Q3,6624.44,765660,23500,2654,165,928590.95,7
CMP-0025,Google Ads,West,SMB,2024-Q3,4169.38,358951,9346,1710,63,232187.98,21
CMP-0026,Content/SEO,Midwest,Mid-Market,2025-Q1,1587.24,134375,4016,383,8,78403.71,45
CMP-0027,LinkedIn Ads,West,Mid-Market,2025-Q2,4521.5,584911,12006,1860,117,1592373.07,21
CMP-0028,Content/SEO,Southeast,Enterprise,2024-Q3,1864.28,303169,5973,350,14,267845.49,14
CMP-0029,Google Ads,Northeast,Mid-Market,2024-Q3,5042.12,800958,50261,5797,194,1624724.9,14
CMP-0030,LinkedIn Ads,West,Enterprise,2024-Q3,7247.73,881008,18985,2272,158,4386437.71,60
CMP-0031,Webinars,West,Mid-Market,2024-Q4,3502.72,506932,38158,5822,603,7453657.96,60
CMP-0032,Webinars,Midwest,SMB,2025-Q2,5879.03,793611,32846,4330,304,2051754.61,60
CMP-0033,Webinars,West,Mid-Market,2025-Q2,3921.49,347218,17283,1691,131,1863150.95,14
CMP-0034,Content/SEO,International,SMB,2025-Q2,2812.86,320227,9670,740,25,127106.75,60
CMP-0035,LinkedIn Ads,Southeast,Mid-Market,2025-Q2,6867.74,1256862,21292,2434,194,3424155.97,14
CMP-0036,Webinars,West,SMB,2024-Q4,2615.52,226028,12400,2402,158,1154195.92,60
CMP-0037,Content/SEO,West,Mid-Market,2025-Q1,3123.54,329619,15674,3008,96,908173.72,60
CMP-0038,Trade Shows,Southeast,Mid-Market,2025-Q1,24068.33,4723127,53326,8169,1002,25467927.48,45
CMP-0039,LinkedIn Ads,Southeast,Mid-Market,2025-Q1,4322.4,389796,7522,1489,67,758429.67,45
CMP-0040,Trade Shows,Northeast,Mid-Market,2025-Q2,11407.78,1976484,18538,2479,368,8910370.1,14
CMP-0041,Email,International,Mid-Market,2024-Q4,929.09,157503,5529,760,59,639358.21,14
CMP-0042,Webinars,International,SMB,2025-Q2,3568.41,423650,28566,1614,145,702910.04,7
CMP-0043,Google Ads,Northeast,Mid-Market,2025-Q1,7373.51,1399717,36288,7032,305,2163824.16,14
